artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
Claude Monet,1883,landscape,4540,3611,4873803,wikiart,Impressionism,"The Manneport, Rock Arch West of Etretat",train_and_test,TRUE,49757.jpg
Claude Monet,1873,landscape,4500,2706,3146250,wikiart,Impressionism,Apple Trees in Bloom,train_and_test,FALSE,35919.jpg
Claude Monet,1875,landscape,4000,2961,2994688,wikiart,Impressionism,"Poppy Field, Argenteuil",train_and_test,TRUE,41682.jpg
Claude Monet,1888,landscape,4075,2897,3973914,wikiart,Impressionism,Gardener's House at Antibes,train_and_test,TRUE,37256.jpg
Claude Monet,1887,landscape,3698,2968,1825788,wikiart,Impressionism,Sunlight Effect under the Poplars,train_and_test,TRUE,56641.jpg
Claude Monet,1894,cityscape,2674,4000,3354401,wikiart,Impressionism,"Rouen Cathedral, the Portal, Morning Effect",train_and_test,TRUE,52850.jpg
Claude Monet,1874,landscape,3600,2934,1209689,wikiart,Impressionism,The Allee du Champ de Foire at Argenteuil,train_and_test,TRUE,97356.jpg
Claude Monet,1917,flower painting,3000,3345,2796622,wikiart,Impressionism,Agapanthus Flowers,train_and_test,FALSE,82764.jpg
Claude Monet,1886,landscape,3500,2591,5926384,wikipedia,Impressionism,Haystack at Giverny,train_and_test,TRUE,52023.jpg
Claude Monet,1879,landscape,3335,2456,1108621,wikiart,Impressionism,Vetheuil,train_and_test,TRUE,16139.jpg
Claude Monet,1875,portrait,3060,2586,4166741,wikiart,Impressionism,Camille Monet and a Child in the Artist’s Garden in Argenteuil,train_and_test,TRUE,61167.jpg
Claude Monet,1893,cityscape,2243,3500,1625486,wikiart,Impressionism,Rouen Cathedral,train_and_test,TRUE,11233.jpg
Claude Monet,1919,flower painting,2420,3190,4406562,wikiart,Impressionism,Water Lily Pond at Giverny,train_and_test,FALSE,90093.jpg
Claude Monet,1894,cityscape,2297,3350,4963942,wikiart,Impressionism,"Rouen Cathedral, evening, harmony in brown",train_and_test,TRUE,15562.jpg
Claude Monet,1922,landscape,2500,3041,3090321,wikiart,Impressionism,"Weeping Willow, Giverny",train_and_test,TRUE,37160.jpg
Claude Monet,1882,landscape,3000,2467,2165900,wikiart,Impressionism,Fisherman's House at Varengeville,train_and_test,FALSE,11288.jpg
Claude Monet,1883,landscape,2997,2419,2395530,wikiart,Impressionism,Landscape near Montecarlo,train_and_test,TRUE,50977.jpg
Claude Monet,1872,landscape,3000,2396,1206162,wikiart,Impressionism,Trees in Bloom,train_and_test,TRUE,38252.jpg
Claude Monet,1886,landscape,2977,2412,1818565,wikiart,Impressionism,The Rock Needle Seen through the Porte d'Aval,train_and_test,FALSE,57620.jpg
Claude Monet,1882,landscape,3000,2391,3595007,wikiart,Impressionism,The Church at Varengeville,train_and_test,TRUE,34888.jpg
Claude Monet,1887,genre painting,3000,2390,2402461,wikiart,Impressionism,The Promenade near Limetz,train_and_test,TRUE,11308.jpg
Claude Monet,1896,landscape,3000,2383,2073325,wikiart,Impressionism,Flood Waters,train_and_test,FALSE,19915.jpg
Claude Monet,1886,landscape,2376,3000,2035400,wikiart,Impressionism,The Mannerport near Etretat,train_and_test,TRUE,86389.jpg
Claude Monet,1891,landscape,3000,2360,1628205,wikiart,Impressionism,Grainstack at Sunset,train_and_test,TRUE,9865.jpg
Claude Monet,1894,cityscape,2143,3090,2726693,wikiart,Impressionism,"Rouen Cathedral, Magic in Blue",train_and_test,TRUE,95505.jpg
Claude Monet,1876,landscape,2184,3000,2569609,wikiart,Impressionism,Camille Monet in the Garden at the House in Argenteuil,train_and_test,FALSE,35377.jpg
Claude Monet,1866,genre painting,2790,2260,4473770,wikiart,Impressionism,Jeanne-Marguerite Lecadre in the Garden,train_and_test,TRUE,32232.jpg
Claude Monet,1888,landscape,2800,2225,4092671,wikipedia,Impressionism,Poplars at Giverny,train_and_test,TRUE,39796.jpg
Claude Monet,1884,landscape,2779,2240,2462271,wikiart,Impressionism,Olive Tree Wood in the Moreno Garden,train_and_test,TRUE,98339.jpg
Claude Monet,1877,cityscape,2863,2146,2288367,wikiart,Impressionism,"Saint-Lazare Station, Exterior View",train_and_test,TRUE,80182.jpg
Claude Monet,1885,landscape,2837,2064,1423450,wikiart,Impressionism,Etretat the Aval Door Fishing Boats Leaving the Harbour,train_and_test,TRUE,72196.jpg
Claude Monet,1887,genre painting,2699,2135,2203125,wikiart,Impressionism,Fishing on the River Epte,train_and_test,TRUE,80842.jpg
Claude Monet,1894,cityscape,1918,3000,1111840,wikiart,Impressionism,Rouen Cathedral,train_and_test,TRUE,55894.jpg
Claude Monet,1880,landscape,2000,2794,1339167,wikiart,Impressionism,Woman Sitting under the Willows,train_and_test,TRUE,11704.jpg
Claude Monet,1874,landscape,2900,1923,1946346,wikiart,Impressionism,The Boats Regatta at Argenteuil,train_and_test,TRUE,34183.jpg
Claude Monet,1878,cityscape,2000,2781,1680615,wikiart,Impressionism,The Rue Montargueil with Flags,train_and_test,TRUE,62513.jpg
Claude Monet,1875,genre painting,2120,2610,4250337,wikiart,Impressionism,"The Promenade, Woman with a Parasol",train_and_test,TRUE,76587.jpg
Claude Monet,1924,landscape,2500,2192,2050796,wikiart,Impressionism,"The Artist's House, View from the Rose Garden",train_and_test,TRUE,95390.jpg
Claude Monet,1879,cityscape,2957,1776,3810386,wikiart,Impressionism,The Seine at Vetheuil ,train_and_test,TRUE,2238.jpg
Claude Monet,1885,landscape,2979,1760,1238525,wikiart,Impressionism,The Willows,train_and_test,TRUE,38424.jpg
Claude Monet,1878,landscape,2503,2083,1356450,wikiart,Impressionism,The Route a Vetheuil,train_and_test,TRUE,95854.jpg
Claude Monet,1884,cityscape,2500,2057,973185,wikiart,Impressionism,Villas at Bordighera 03,train_and_test,TRUE,85713.jpg
Claude Monet,c.1884,landscape,2500,2051,1522266,wikiart,Impressionism,Palm Tree at Bordighera,train_and_test,TRUE,85337.jpg
Claude Monet,1888,landscape,2103,2432,854321,wikiart,Impressionism,Meadows in Giverny,train_and_test,TRUE,27026.jpg
Claude Monet,1885,landscape,2500,2026,1849658,wikiart,Impressionism,The Entrance to Giverny under the Snow,train_and_test,TRUE,57481.jpg
Claude Monet,1882,landscape,2500,2015,3091800,wikiart,Impressionism,Clifftop Walk at Pourville,train_and_test,TRUE,61801.jpg
Claude Monet,1880,landscape,2495,2016,3358182,wikipedia,Impressionism,The Willows,train_and_test,TRUE,5699.jpg
Claude Monet,1881,landscape,2500,2010,1465731,wikiart,Impressionism,The Wheat Field,train_and_test,TRUE,60688.jpg
Claude Monet,1888,landscape,2500,2000,3242982,wikiart,Impressionism,"Antibes, Afternoon Effect",train_and_test,TRUE,34872.jpg
